rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
rio;01012001;1212
sao paulo;02022002;1313
minas gerais;03032003;1414
mato grosso;04042004;1515
parana;05052005;1616
acre;06062006;1717
para;07072007;1818
ceara;08082008;1919
paraiba;09092009;2020
goias;10102010;2121
pernambuco;11112011;2222
